time,own_icao24,intruder_icao24,own_latitude,own_longitude,own_geo_altitude_m,own_velocity_ms,own_heading_deg,own_vertical_rate_ms,intruder_latitude,intruder_longitude,intruder_geo_altitude_m,intruder_velocity_ms,intruder_heading_deg,intruder_vertical_rate_ms,relative_distance_km,relative_altitude_m,relative_speed_proxy_ms,distance_state,altitude_state,closing_state,mdp_state,recommended_action,reward
1781283492,781eea,a3d91f,22.6824,113.9345,3642.36,180.62,320.78,5.2,22.7147,113.7693,419.1,78.23,152.59,-4.23,17.323,-3223.26,102.39,medium,below,approaching,medium_below_approaching,maintain,5
1781283492,781eea,781006,22.6824,113.9345,3642.36,180.62,320.78,5.2,22.6902,113.7592,929.64,69.49,152.68,-3.25,18.005,-2712.72,111.13,medium,below,approaching,medium_below_approaching,maintain,5
1781283492,781eea,7810aa,22.6824,113.9345,3642.36,180.62,320.78,5.2,22.9122,113.6697,1584.96,98.18,185.41,0.0,37.279,-2057.4,82.44,far,below,approaching,far_below_approaching,maintain,5
1781283492,781eea,7587af,22.6824,113.9345,3642.36,180.62,320.78,5.2,22.1283,113.5005,3848.1,192.79,160.84,0.0,76.07,205.74,12.17,far,same,stable,far_same_stable,maintain,5
1781283492,781eea,7504aa,22.6824,113.9345,3642.36,180.62,320.78,5.2,22.2648,114.2677,12123.42,228.21,335.92,-0.33,57.692,8481.06,47.59,far,above,approaching,far_above_approaching,maintain,5
1781283492,781eea,4d238c,22.6824,113.9345,3642.36,180.62,320.78,5.2,22.179,113.7398,800.1,103.12,335.22,-2.6,59.445,-2842.26,77.5,far,below,approaching,far_below_approaching,maintain,5
1781283492,781eea,71bd84,22.6824,113.9345,3642.36,180.62,320.78,5.2,22.3099,113.9406,327.66,89.15,71.15,12.03,41.425,-3314.7,91.47,far,below,approaching,far_below_approaching,maintain,5
1781283492,780bff,8832d4,13.9508,100.9193,1059.18,113.83,229.4,-6.5,14.1413,100.6944,1889.76,98.08,172.46,-4.55,32.206,830.58,15.75,far,above,approaching,far_above_approaching,maintain,5
1781283492,780bff,88510d,13.9508,100.9193,1059.18,113.83,229.4,-6.5,13.5853,100.8402,2948.94,158.77,67.92,14.63,41.53,1889.76,44.94,far,above,approaching,far_above_approaching,maintain,5
1781283492,780bff,88044a,13.9508,100.9193,1059.18,113.83,229.4,-6.5,13.9772,100.6451,381.0,66.06,208.36,-3.58,29.734,-678.18,47.77,far,below,approaching,far_below_approaching,maintain,5
1781283492,780bff,86eb72,13.9508,100.9193,1059.18,113.83,229.4,-6.5,14.4903,101.3417,6088.38,198.86,239.19,-10.73,75.311,5029.2,85.03,far,above,approaching,far_above_approaching,maintain,5
1781283492,76cd46,8695c6,35.0393,141.6854,11734.8,295.25,54.29,0.0,35.2803,141.42,9250.68,294.94,71.6,4.23,36.059,-2484.12,0.31,far,below,stable,far_below_stable,maintain,5
1781283492,76cd46,a290d0,35.0393,141.6854,11734.8,295.25,54.29,0.0,34.8845,141.2947,9852.66,301.4,68.47,0.0,39.546,-1882.14,6.15,far,below,stable,far_below_stable,maintain,5
1781283492,8832d4,88510d,14.1413,100.6944,1889.76,98.08,172.46,-4.55,13.5853,100.8402,2948.94,158.77,67.92,14.63,63.797,1059.18,60.69,far,above,approaching,far_above_approaching,maintain,5
1781283492,8832d4,88044a,14.1413,100.6944,1889.76,98.08,172.46,-4.55,13.9772,100.6451,381.0,66.06,208.36,-3.58,19.006,-1508.76,32.02,medium,below,approaching,medium_below_approaching,maintain,5
1781283492,8832d4,86eb72,14.1413,100.6944,1889.76,98.08,172.46,-4.55,14.4903,101.3417,6088.38,198.86,239.19,-10.73,79.811,4198.62,100.78,far,above,approaching,far_above_approaching,maintain,5
1781283492,899082,862d2e,23.5059,119.1394,11757.66,247.36,225.17,0.0,23.3357,119.1899,11094.72,241.63,237.7,0.0,19.614,-662.94,5.73,medium,below,stable,medium_below_stable,maintain,5
1781283492,89907b,8990d5,21.1605,116.9864,11109.96,255.7,269.19,-0.33,21.1793,117.4805,9829.8,261.62,246.96,0.0,51.276,-1280.16,5.92,far,below,stable,far_below_stable,maintain,5
1781283492,899097,8990d6,41.9607,144.7741,11734.8,231.23,244.01,-0.33,42.0545,144.5746,9883.14,235.62,242.43,0.0,19.506,-1851.66,4.39,medium,below,stable,medium_below_stable,maintain,5
1781283492,899059,8466a0,26.1059,122.7081,9326.88,221.08,229.34,-6.18,26.4189,123.114,11711.94,221.47,229.43,0.0,53.381,2385.06,0.39,far,above,stable,far_above_stable,maintain,5
1781283492,899057,89915c,25.0676,121.2321,137.16,69.36,49.81,-3.58,24.9411,121.1883,1821.18,159.19,48.01,-3.58,14.742,1684.02,89.83,medium,above,approaching,medium_above_approaching,maintain,5
1781283492,899057,899106,25.0676,121.2321,137.16,69.36,49.81,-3.58,25.004,121.0355,868.68,104.54,142.4,-5.2,21.032,731.52,35.18,far,above,approaching,far_above_approaching,maintain,5
